,Date,Average Buy Size,", Average Sell Size",Max buy size,Max sell size, Buy volume,sell volume,Total volume traded, EOD Price in USD,Average Liquidity in Pool
172,07-12-20,0.0,137213109.5065273,0.0,137213109.5065273,0.0,137213109.5065273,137213109.5065273,0.9994983585863487,61105494.04515883
173,08-12-20,35867581.50134842,0.0,50663198.44735646,0.0,71735163.00269684,0.0,71735163.00269684,1966.9552700561333,3004450.0286641163
174,09-12-20,512114173.26942927,9712653.975022415,512114173.26942927,98704925.52484524,512114173.26942927,19425307.95004483,531539481.2194741,1572.8547126448846,1007502.045743127
175,10-12-20,47371865.44211738,11951267.674942123,48641230.68462296,117910062.79753263,94743730.88423476,23902535.349884246,118646266.234119,558.1993301369147,1760478.3787222973
176,11-12-20,140302657.7991436,17415187.64398742,267047855.23355395,17415187.64398742,280605315.5982872,17415187.64398742,298020503.24227464,1479.4650639684533,712215.8163512708
177,12-12-20,19071740.139057375,32186456.378668573,19071740.139057375,32186456.378668573,19071740.139057375,32186456.378668573,51258196.517725945,1576.7012554504554,351958.8310994035
178,13-12-20,104950679.23734945,41489101.168944664,104950679.23734945,82978202.33788933,104950679.23734945,82978202.33788933,187928881.57523876,1262.0076861015193,1986887.637084481
179,14-12-20,214106006.46676627,0.0,214106006.46676627,0.0,214106006.46676627,0.0,214106006.46676627,1564.5110492997899,4468278.108498694
180,15-12-20,0.0,16572913.254458675,0.0,49718739.76337603,0.0,49718739.76337603,49718739.76337603,0.999650558797135,834236.3181735162
181,16-12-20,15608702.972388314,40456227.92205331,15608702.972388314,576319748.6942536,15608702.972388314,161824911.68821323,177433614.66060156,653.8545056131496,23860385.703273587
182,17-12-20,454687467.6492136,97298561.12332566,454687467.6492136,389194244.49330264,454687467.6492136,389194244.49330264,843881712.1425163,1151.4535055094773,1695137.2860327507
183,18-12-20,30197108.390399504,14006221.142940292,39249628.90086656,162082955.20608148,60394216.78079901,42018663.42882088,102412880.20961988,1006.0708773411639,1607122.9676436556
184,19-12-20,0.0,404378806.83034056,0.0,404378806.83034056,0.0,404378806.83034056,404378806.83034056,1990.3643649249912,14808923.3150201
